2026-06-09 00:56:21 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 00:56:22 | INFO | src.data | Normalization completed
2026-06-09 00:56:25 | INFO | src.evaluate | Classification report generated
2026-06-09 00:56:25 | INFO | src.evaluate | Evaluation completed
2026-06-09 00:56:25 | INFO | src.predict | Loading model from models/cifar10_cnn.keras
2026-06-09 00:56:25 | INFO | src.predict | Model loaded successfully
2026-06-09 00:56:27 | INFO | src.predict | Running prediction
2026-06-09 00:56:27 | INFO | src.predict | Prediction=cat, Confidence=0.8453
2026-06-09 00:59:23 | INFO | __main__ | Application started
2026-06-09 00:59:31 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 00:59:33 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 00:59:33 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 00:59:34 | INFO | src.data | Normalization completed
2026-06-09 00:59:34 | INFO | src.evaluate | Evaluation started
2026-06-09 00:59:34 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 00:59:36 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 00:59:36 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 00:59:37 | INFO | src.data | Normalization completed
2026-06-09 00:59:39 | INFO | src.evaluate | Classification report generated
2026-06-09 00:59:39 | INFO | src.evaluate | Evaluation completed
2026-06-09 00:59:39 | INFO | src.predict | Loading model from models/cifar10_cnn.keras
2026-06-09 00:59:39 | INFO | src.predict | Model loaded successfully
2026-06-09 00:59:41 | INFO | src.predict | Running prediction
2026-06-09 00:59:41 | INFO | src.predict | Prediction=cat, Confidence=0.8453
2026-06-09 01:00:41 | INFO | __main__ | Application started
2026-06-09 01:00:48 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 01:00:50 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 01:00:50 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 01:00:51 | INFO | src.data | Normalization completed
2026-06-09 01:00:51 | INFO | src.evaluate | Evaluation started
2026-06-09 01:00:51 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 01:00:53 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 01:00:53 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 01:00:54 | INFO | src.data | Normalization completed
2026-06-09 01:00:56 | INFO | src.evaluate | Classification report generated
2026-06-09 01:00:56 | INFO | src.evaluate | Evaluation completed
2026-06-09 01:00:56 | INFO | src.predict | Loading model from models/cifar10_cnn.keras
